key,value,date
Life Physical and Social Science Occupations,0,1/1/11
Life Physical and Social Science Occupations,0,2/1/11
Life Physical and Social Science Occupations,0,3/1/11
Life Physical and Social Science Occupations,0,4/1/11
Life Physical and Social Science Occupations,0,5/1/11
Life Physical and Social Science Occupations,0,6/1/11
Life Physical and Social Science Occupations,0,7/1/11
Life Physical and Social Science Occupations,0,8/1/11
Life Physical and Social Science Occupations,0,9/1/11
Life Physical and Social Science Occupations,0,10/1/11
Life Physical and Social Science Occupations,101,11/1/11
Life Physical and Social Science Occupations,86,12/1/11
Life Physical and Social Science Occupations,77,1/1/12
Life Physical and Social Science Occupations,69,2/1/12
Life Physical and Social Science Occupations,106,3/1/12
Life Physical and Social Science Occupations,0,4/1/12
Life Physical and Social Science Occupations,0,5/1/12
Life Physical and Social Science Occupations,0,6/1/12
Life Physical and Social Science Occupations,0,7/1/12
Life Physical and Social Science Occupations,0,8/1/12
Life Physical and Social Science Occupations,0,9/1/12
Life Physical and Social Science Occupations,0,10/1/12
Life Physical and Social Science Occupations,0,11/1/12
Life Physical and Social Science Occupations,0,12/1/12
Life Physical and Social Science Occupations,0,1/1/13
Life Physical and Social Science Occupations,0,2/1/13
Life Physical and Social Science Occupations,0,3/1/13
Life Physical and Social Science Occupations,47,4/1/13
Life Physical and Social Science Occupations,55,5/1/13
Life Physical and Social Science Occupations,29,6/1/13
Life Physical and Social Science Occupations,43,7/1/13
Life Physical and Social Science Occupations,44,8/1/13
Life Physical and Social Science Occupations,57,9/1/13
Life Physical and Social Science Occupations,0,10/1/13
Life Physical and Social Science Occupations,0,11/1/13
Life Physical and Social Science Occupations,0,12/1/13
Life Physical and Social Science Occupations,0,1/1/14
Life Physical and Social Science Occupations,0,2/1/14
Life Physical and Social Science Occupations,0,3/1/14
Life Physical and Social Science Occupations,115,4/1/14
Life Physical and Social Science Occupations,148,5/1/14
Life Physical and Social Science Occupations,122,6/1/14
Life Physical and Social Science Occupations,95,7/1/14
Life Physical and Social Science Occupations,81,8/1/14
Life Physical and Social Science Occupations,89,9/1/14
Life Physical and Social Science Occupations,0,10/1/14
Life Physical and Social Science Occupations,0,11/1/14
Life Physical and Social Science Occupations,0,12/1/14
Life Physical and Social Science Occupations,0,1/1/15
Life Physical and Social Science Occupations,0,2/1/15
Life Physical and Social Science Occupations,0,3/1/15
Life Physical and Social Science Occupations,91,4/1/15
Life Physical and Social Science Occupations,81,5/1/15
Life Physical and Social Science Occupations,72,6/1/15
Life Physical and Social Science Occupations,94,7/1/15
Life Physical and Social Science Occupations,106,8/1/15
Life Physical and Social Science Occupations,127,9/1/15
Life Physical and Social Science Occupations,0,10/1/15
Life Physical and Social Science Occupations,0,11/1/15
Life Physical and Social Science Occupations,0,12/1/15
Life Physical and Social Science Occupations,0,1/1/16
Life Physical and Social Science Occupations,0,2/1/16
Life Physical and Social Science Occupations,0,3/1/16
Life Physical and Social Science Occupations,106,4/1/16
Life Physical and Social Science Occupations,128,5/1/16
Life Physical and Social Science Occupations,140,6/1/16
Life Physical and Social Science Occupations,125,7/1/16
Life Physical and Social Science Occupations,128,8/1/16
Life Physical and Social Science Occupations,116,9/1/16
Life Physical and Social Science Occupations,137,10/1/16
Life Physical and Social Science Occupations,115,11/1/16
Life Physical and Social Science Occupations,105,12/1/16
Community and Social Service Occupations,0,1/1/11
Community and Social Service Occupations,0,2/1/11
Community and Social Service Occupations,0,3/1/11
Community and Social Service Occupations,0,4/1/11
Community and Social Service Occupations,0,5/1/11
Community and Social Service Occupations,0,6/1/11
Community and Social Service Occupations,0,7/1/11
Community and Social Service Occupations,0,8/1/11
Community and Social Service Occupations,0,9/1/11
Community and Social Service Occupations,0,10/1/11
Community and Social Service Occupations,5,11/1/11
Community and Social Service Occupations,13,12/1/11
Community and Social Service Occupations,16,1/1/12
Community and Social Service Occupations,14,2/1/12
Community and Social Service Occupations,24,3/1/12
Community and Social Service Occupations,0,4/1/12
Community and Social Service Occupations,0,5/1/12
Community and Social Service Occupations,0,6/1/12
Community and Social Service Occupations,0,7/1/12
Community and Social Service Occupations,0,8/1/12
Community and Social Service Occupations,0,9/1/12
Community and Social Service Occupations,0,10/1/12
Community and Social Service Occupations,0,11/1/12
Community and Social Service Occupations,0,12/1/12
Community and Social Service Occupations,0,1/1/13
Community and Social Service Occupations,0,2/1/13
Community and Social Service Occupations,0,3/1/13
Community and Social Service Occupations,6,4/1/13
Community and Social Service Occupations,7,5/1/13
Community and Social Service Occupations,2,6/1/13
Community and Social Service Occupations,0,7/1/13
Community and Social Service Occupations,6,8/1/13
Community and Social Service Occupations,7,9/1/13
Community and Social Service Occupations,0,10/1/13
Community and Social Service Occupations,0,11/1/13
Community and Social Service Occupations,0,12/1/13
Community and Social Service Occupations,0,1/1/14
Community and Social Service Occupations,0,2/1/14
Community and Social Service Occupations,0,3/1/14
Community and Social Service Occupations,26,4/1/14
Community and Social Service Occupations,31,5/1/14
Community and Social Service Occupations,31,6/1/14
Community and Social Service Occupations,25,7/1/14
Community and Social Service Occupations,17,8/1/14
Community and Social Service Occupations,10,9/1/14
Community and Social Service Occupations,0,10/1/14
Community and Social Service Occupations,0,11/1/14
Community and Social Service Occupations,0,12/1/14
Community and Social Service Occupations,0,1/1/15
Community and Social Service Occupations,0,2/1/15
Community and Social Service Occupations,0,3/1/15
Community and Social Service Occupations,30,4/1/15
Community and Social Service Occupations,24,5/1/15
Community and Social Service Occupations,26,6/1/15
Community and Social Service Occupations,20,7/1/15
Community and Social Service Occupations,31,8/1/15
Community and Social Service Occupations,49,9/1/15
Community and Social Service Occupations,0,10/1/15
Community and Social Service Occupations,0,11/1/15
Community and Social Service Occupations,0,12/1/15
Community and Social Service Occupations,0,1/1/16
Community and Social Service Occupations,0,2/1/16
Community and Social Service Occupations,0,3/1/16
Community and Social Service Occupations,21,4/1/16
Community and Social Service Occupations,32,5/1/16
Community and Social Service Occupations,36,6/1/16
Community and Social Service Occupations,28,7/1/16
Community and Social Service Occupations,31,8/1/16
Community and Social Service Occupations,22,9/1/16
Community and Social Service Occupations,29,10/1/16
Community and Social Service Occupations,26,11/1/16
Community and Social Service Occupations,25,12/1/16
Business and Financial Operations Occupations,0,1/1/11
Business and Financial Operations Occupations,0,2/1/11
Business and Financial Operations Occupations,0,3/1/11
Business and Financial Operations Occupations,0,4/1/11
Business and Financial Operations Occupations,0,5/1/11
Business and Financial Operations Occupations,0,6/1/11
Business and Financial Operations Occupations,0,7/1/11
Business and Financial Operations Occupations,0,8/1/11
Business and Financial Operations Occupations,0,9/1/11
Business and Financial Operations Occupations,0,10/1/11
Business and Financial Operations Occupations,173,11/1/11
Business and Financial Operations Occupations,158,12/1/11
Business and Financial Operations Occupations,118,1/1/12
Business and Financial Operations Occupations,118,2/1/12
Business and Financial Operations Occupations,176,3/1/12
Business and Financial Operations Occupations,0,4/1/12
Business and Financial Operations Occupations,0,5/1/12
Business and Financial Operations Occupations,0,6/1/12
Business and Financial Operations Occupations,0,7/1/12
Business and Financial Operations Occupations,0,8/1/12
Business and Financial Operations Occupations,0,9/1/12
Business and Financial Operations Occupations,0,10/1/12
Business and Financial Operations Occupations,0,11/1/12
Business and Financial Operations Occupations,0,12/1/12
Business and Financial Operations Occupations,0,1/1/13
Business and Financial Operations Occupations,0,2/1/13
Business and Financial Operations Occupations,0,3/1/13
Business and Financial Operations Occupations,133,4/1/13
Business and Financial Operations Occupations,163,5/1/13
Business and Financial Operations Occupations,90,6/1/13
Business and Financial Operations Occupations,89,7/1/13
Business and Financial Operations Occupations,112,8/1/13
Business and Financial Operations Occupations,180,9/1/13
Business and Financial Operations Occupations,0,10/1/13
Business and Financial Operations Occupations,0,11/1/13
Business and Financial Operations Occupations,0,12/1/13
Business and Financial Operations Occupations,0,1/1/14
Business and Financial Operations Occupations,0,2/1/14
Business and Financial Operations Occupations,0,3/1/14
Business and Financial Operations Occupations,403,4/1/14
Business and Financial Operations Occupations,491,5/1/14
Business and Financial Operations Occupations,467,6/1/14
Business and Financial Operations Occupations,297,7/1/14
Business and Financial Operations Occupations,296,8/1/14
Business and Financial Operations Occupations,294,9/1/14
Business and Financial Operations Occupations,0,10/1/14
Business and Financial Operations Occupations,0,11/1/14
Business and Financial Operations Occupations,0,12/1/14
Business and Financial Operations Occupations,0,1/1/15
Business and Financial Operations Occupations,0,2/1/15
Business and Financial Operations Occupations,0,3/1/15
Business and Financial Operations Occupations,354,4/1/15
Business and Financial Operations Occupations,318,5/1/15
Business and Financial Operations Occupations,343,6/1/15
Business and Financial Operations Occupations,475,7/1/15
Business and Financial Operations Occupations,464,8/1/15
Business and Financial Operations Occupations,603,9/1/15
Business and Financial Operations Occupations,0,10/1/15
Business and Financial Operations Occupations,0,11/1/15
Business and Financial Operations Occupations,0,12/1/15
Business and Financial Operations Occupations,0,1/1/16
Business and Financial Operations Occupations,0,2/1/16
Business and Financial Operations Occupations,0,3/1/16
Business and Financial Operations Occupations,480,4/1/16
Business and Financial Operations Occupations,687,5/1/16
Business and Financial Operations Occupations,686,6/1/16
Business and Financial Operations Occupations,584,7/1/16
Business and Financial Operations Occupations,584,8/1/16
Business and Financial Operations Occupations,394,9/1/16
Business and Financial Operations Occupations,498,10/1/16
Business and Financial Operations Occupations,449,11/1/16
Business and Financial Operations Occupations,428,12/1/16
Food Preparation and Serving Related Occupations,0,1/1/11
Food Preparation and Serving Related Occupations,0,2/1/11
Food Preparation and Serving Related Occupations,0,3/1/11
Food Preparation and Serving Related Occupations,0,4/1/11
Food Preparation and Serving Related Occupations,0,5/1/11
Food Preparation and Serving Related Occupations,0,6/1/11
Food Preparation and Serving Related Occupations,0,7/1/11
Food Preparation and Serving Related Occupations,0,8/1/11
Food Preparation and Serving Related Occupations,0,9/1/11
Food Preparation and Serving Related Occupations,0,10/1/11
Food Preparation and Serving Related Occupations,6,11/1/11
Food Preparation and Serving Related Occupations,27,12/1/11
Food Preparation and Serving Related Occupations,45,1/1/12
Food Preparation and Serving Related Occupations,51,2/1/12
Food Preparation and Serving Related Occupations,12,3/1/12
Food Preparation and Serving Related Occupations,0,4/1/12
Food Preparation and Serving Related Occupations,0,5/1/12
Food Preparation and Serving Related Occupations,0,6/1/12
Food Preparation and Serving Related Occupations,0,7/1/12
Food Preparation and Serving Related Occupations,0,8/1/12
Food Preparation and Serving Related Occupations,0,9/1/12
Food Preparation and Serving Related Occupations,0,10/1/12
Food Preparation and Serving Related Occupations,0,11/1/12
Food Preparation and Serving Related Occupations,0,12/1/12
Food Preparation and Serving Related Occupations,0,1/1/13
Food Preparation and Serving Related Occupations,0,2/1/13
Food Preparation and Serving Related Occupations,0,3/1/13
Food Preparation and Serving Related Occupations,13,4/1/13
Food Preparation and Serving Related Occupations,26,5/1/13
Food Preparation and Serving Related Occupations,14,6/1/13
Food Preparation and Serving Related Occupations,6,7/1/13
Food Preparation and Serving Related Occupations,15,8/1/13
Food Preparation and Serving Related Occupations,25,9/1/13
Food Preparation and Serving Related Occupations,0,10/1/13
Food Preparation and Serving Related Occupations,0,11/1/13
Food Preparation and Serving Related Occupations,0,12/1/13
Food Preparation and Serving Related Occupations,0,1/1/14
Food Preparation and Serving Related Occupations,0,2/1/14
Food Preparation and Serving Related Occupations,0,3/1/14
Food Preparation and Serving Related Occupations,24,4/1/14
Food Preparation and Serving Related Occupations,14,5/1/14
Food Preparation and Serving Related Occupations,16,6/1/14
Food Preparation and Serving Related Occupations,22,7/1/14
Food Preparation and Serving Related Occupations,28,8/1/14
Food Preparation and Serving Related Occupations,18,9/1/14
Food Preparation and Serving Related Occupations,0,10/1/14
Food Preparation and Serving Related Occupations,0,11/1/14
Food Preparation and Serving Related Occupations,0,12/1/14
Food Preparation and Serving Related Occupations,0,1/1/15
Food Preparation and Serving Related Occupations,0,2/1/15
Food Preparation and Serving Related Occupations,0,3/1/15
Food Preparation and Serving Related Occupations,102,4/1/15
Food Preparation and Serving Related Occupations,73,5/1/15
Food Preparation and Serving Related Occupations,94,6/1/15
Food Preparation and Serving Related Occupations,186,7/1/15
Food Preparation and Serving Related Occupations,180,8/1/15
Food Preparation and Serving Related Occupations,237,9/1/15
Food Preparation and Serving Related Occupations,0,10/1/15
Food Preparation and Serving Related Occupations,0,11/1/15
Food Preparation and Serving Related Occupations,0,12/1/15
Food Preparation and Serving Related Occupations,0,1/1/16
Food Preparation and Serving Related Occupations,0,2/1/16
Food Preparation and Serving Related Occupations,0,3/1/16
Food Preparation and Serving Related Occupations,132,4/1/16
Food Preparation and Serving Related Occupations,144,5/1/16
Food Preparation and Serving Related Occupations,279,6/1/16
Food Preparation and Serving Related Occupations,205,7/1/16
Food Preparation and Serving Related Occupations,250,8/1/16
Food Preparation and Serving Related Occupations,160,9/1/16
Food Preparation and Serving Related Occupations,260,10/1/16
Food Preparation and Serving Related Occupations,151,11/1/16
Food Preparation and Serving Related Occupations,188,12/1/16
Protective Service Occupations,0,1/1/11
Protective Service Occupations,0,2/1/11
Protective Service Occupations,0,3/1/11
Protective Service Occupations,0,4/1/11
Protective Service Occupations,0,5/1/11
Protective Service Occupations,0,6/1/11
Protective Service Occupations,0,7/1/11
Protective Service Occupations,0,8/1/11
Protective Service Occupations,0,9/1/11
Protective Service Occupations,0,10/1/11
Protective Service Occupations,0,11/1/11
Protective Service Occupations,1,12/1/11
Protective Service Occupations,0,1/1/12
Protective Service Occupations,0,2/1/12
Protective Service Occupations,0,3/1/12
Protective Service Occupations,0,4/1/12
Protective Service Occupations,0,5/1/12
Protective Service Occupations,0,6/1/12
Protective Service Occupations,0,7/1/12
Protective Service Occupations,0,8/1/12
Protective Service Occupations,0,9/1/12
Protective Service Occupations,0,10/1/12
Protective Service Occupations,0,11/1/12
Protective Service Occupations,0,12/1/12
Protective Service Occupations,0,1/1/13
Protective Service Occupations,0,2/1/13
Protective Service Occupations,0,3/1/13
Protective Service Occupations,0,4/1/13
Protective Service Occupations,0,5/1/13
Protective Service Occupations,0,6/1/13
Protective Service Occupations,0,7/1/13
Protective Service Occupations,0,8/1/13
Protective Service Occupations,0,9/1/13
Protective Service Occupations,0,10/1/13
Protective Service Occupations,0,11/1/13
Protective Service Occupations,0,12/1/13
Protective Service Occupations,0,1/1/14
Protective Service Occupations,0,2/1/14
Protective Service Occupations,0,3/1/14
Protective Service Occupations,0,4/1/14
Protective Service Occupations,0,5/1/14
Protective Service Occupations,0,6/1/14
Protective Service Occupations,0,7/1/14
Protective Service Occupations,0,8/1/14
Protective Service Occupations,0,9/1/14
Protective Service Occupations,0,10/1/14
Protective Service Occupations,0,11/1/14
Protective Service Occupations,0,12/1/14
Protective Service Occupations,0,1/1/15
Protective Service Occupations,0,2/1/15
Protective Service Occupations,0,3/1/15
Protective Service Occupations,0,4/1/15
Protective Service Occupations,0,5/1/15
Protective Service Occupations,0,6/1/15
Protective Service Occupations,0,7/1/15
Protective Service Occupations,1,8/1/15
Protective Service Occupations,0,9/1/15
Protective Service Occupations,0,10/1/15
Protective Service Occupations,0,11/1/15
Protective Service Occupations,0,12/1/15
Protective Service Occupations,0,1/1/16
Protective Service Occupations,0,2/1/16
Protective Service Occupations,0,3/1/16
Protective Service Occupations,0,4/1/16
Protective Service Occupations,0,5/1/16
Protective Service Occupations,1,6/1/16
Protective Service Occupations,2,7/1/16
Protective Service Occupations,2,8/1/16
Protective Service Occupations,1,9/1/16
Protective Service Occupations,0,10/1/16
Protective Service Occupations,1,11/1/16
Protective Service Occupations,0,12/1/16
Transportation and Material Moving Occupations,0,1/1/11
Transportation and Material Moving Occupations,0,2/1/11
Transportation and Material Moving Occupations,0,3/1/11
Transportation and Material Moving Occupations,0,4/1/11
Transportation and Material Moving Occupations,0,5/1/11
Transportation and Material Moving Occupations,0,6/1/11
Transportation and Material Moving Occupations,0,7/1/11
Transportation and Material Moving Occupations,0,8/1/11
Transportation and Material Moving Occupations,0,9/1/11
Transportation and Material Moving Occupations,0,10/1/11
Transportation and Material Moving Occupations,2,11/1/11
Transportation and Material Moving Occupations,2,12/1/11
Transportation and Material Moving Occupations,9,1/1/12
Transportation and Material Moving Occupations,1,2/1/12
Transportation and Material Moving Occupations,2,3/1/12
Transportation and Material Moving Occupations,0,4/1/12
Transportation and Material Moving Occupations,0,5/1/12
Transportation and Material Moving Occupations,0,6/1/12
Transportation and Material Moving Occupations,0,7/1/12
Transportation and Material Moving Occupations,0,8/1/12
Transportation and Material Moving Occupations,0,9/1/12
Transportation and Material Moving Occupations,0,10/1/12
Transportation and Material Moving Occupations,0,11/1/12
Transportation and Material Moving Occupations,0,12/1/12
Transportation and Material Moving Occupations,0,1/1/13
Transportation and Material Moving Occupations,0,2/1/13
Transportation and Material Moving Occupations,0,3/1/13
Transportation and Material Moving Occupations,0,4/1/13
Transportation and Material Moving Occupations,0,5/1/13
Transportation and Material Moving Occupations,1,6/1/13
Transportation and Material Moving Occupations,0,7/1/13
Transportation and Material Moving Occupations,1,8/1/13
Transportation and Material Moving Occupations,1,9/1/13
Transportation and Material Moving Occupations,0,10/1/13
Transportation and Material Moving Occupations,0,11/1/13
Transportation and Material Moving Occupations,0,12/1/13
Transportation and Material Moving Occupations,0,1/1/14
Transportation and Material Moving Occupations,0,2/1/14
Transportation and Material Moving Occupations,0,3/1/14
Transportation and Material Moving Occupations,2,4/1/14
Transportation and Material Moving Occupations,1,5/1/14
Transportation and Material Moving Occupations,0,6/1/14
Transportation and Material Moving Occupations,1,7/1/14
Transportation and Material Moving Occupations,1,8/1/14
Transportation and Material Moving Occupations,0,9/1/14
Transportation and Material Moving Occupations,0,10/1/14
Transportation and Material Moving Occupations,0,11/1/14
Transportation and Material Moving Occupations,0,12/1/14
Transportation and Material Moving Occupations,0,1/1/15
Transportation and Material Moving Occupations,0,2/1/15
Transportation and Material Moving Occupations,0,3/1/15
Transportation and Material Moving Occupations,4,4/1/15
Transportation and Material Moving Occupations,4,5/1/15
Transportation and Material Moving Occupations,5,6/1/15
Transportation and Material Moving Occupations,5,7/1/15
Transportation and Material Moving Occupations,6,8/1/15
Transportation and Material Moving Occupations,5,9/1/15
Transportation and Material Moving Occupations,0,10/1/15
Transportation and Material Moving Occupations,0,11/1/15
Transportation and Material Moving Occupations,0,12/1/15
Transportation and Material Moving Occupations,0,1/1/16
Transportation and Material Moving Occupations,0,2/1/16
Transportation and Material Moving Occupations,0,3/1/16
Transportation and Material Moving Occupations,27,4/1/16
Transportation and Material Moving Occupations,27,5/1/16
Transportation and Material Moving Occupations,65,6/1/16
Transportation and Material Moving Occupations,75,7/1/16
Transportation and Material Moving Occupations,27,8/1/16
Transportation and Material Moving Occupations,58,9/1/16
Transportation and Material Moving Occupations,21,10/1/16
Transportation and Material Moving Occupations,42,11/1/16
Transportation and Material Moving Occupations,24,12/1/16
Construction and Extraction Occupations,0,1/1/11
Construction and Extraction Occupations,0,2/1/11
Construction and Extraction Occupations,0,3/1/11
Construction and Extraction Occupations,0,4/1/11
Construction and Extraction Occupations,0,5/1/11
Construction and Extraction Occupations,0,6/1/11
Construction and Extraction Occupations,0,7/1/11
Construction and Extraction Occupations,0,8/1/11
Construction and Extraction Occupations,0,9/1/11
Construction and Extraction Occupations,0,10/1/11
Construction and Extraction Occupations,3,11/1/11
Construction and Extraction Occupations,5,12/1/11
Construction and Extraction Occupations,3,1/1/12
Construction and Extraction Occupations,3,2/1/12
Construction and Extraction Occupations,1,3/1/12
Construction and Extraction Occupations,0,4/1/12
Construction and Extraction Occupations,0,5/1/12
Construction and Extraction Occupations,0,6/1/12
Construction and Extraction Occupations,0,7/1/12
Construction and Extraction Occupations,0,8/1/12
Construction and Extraction Occupations,0,9/1/12
Construction and Extraction Occupations,0,10/1/12
Construction and Extraction Occupations,0,11/1/12
Construction and Extraction Occupations,0,12/1/12
Construction and Extraction Occupations,0,1/1/13
Construction and Extraction Occupations,0,2/1/13
Construction and Extraction Occupations,0,3/1/13
Construction and Extraction Occupations,2,4/1/13
Construction and Extraction Occupations,5,5/1/13
Construction and Extraction Occupations,3,6/1/13
Construction and Extraction Occupations,2,7/1/13
Construction and Extraction Occupations,3,8/1/13
Construction and Extraction Occupations,4,9/1/13
Construction and Extraction Occupations,0,10/1/13
Construction and Extraction Occupations,0,11/1/13
Construction and Extraction Occupations,0,12/1/13
Construction and Extraction Occupations,0,1/1/14
Construction and Extraction Occupations,0,2/1/14
Construction and Extraction Occupations,0,3/1/14
Construction and Extraction Occupations,9,4/1/14
Construction and Extraction Occupations,11,5/1/14
Construction and Extraction Occupations,4,6/1/14
Construction and Extraction Occupations,4,7/1/14
Construction and Extraction Occupations,5,8/1/14
Construction and Extraction Occupations,7,9/1/14
Construction and Extraction Occupations,0,10/1/14
Construction and Extraction Occupations,0,11/1/14
Construction and Extraction Occupations,0,12/1/14
Construction and Extraction Occupations,0,1/1/15
Construction and Extraction Occupations,0,2/1/15
Construction and Extraction Occupations,0,3/1/15
Construction and Extraction Occupations,8,4/1/15
Construction and Extraction Occupations,10,5/1/15
Construction and Extraction Occupations,10,6/1/15
Construction and Extraction Occupations,14,7/1/15
Construction and Extraction Occupations,24,8/1/15
Construction and Extraction Occupations,23,9/1/15
Construction and Extraction Occupations,0,10/1/15
Construction and Extraction Occupations,0,11/1/15
Construction and Extraction Occupations,0,12/1/15
Construction and Extraction Occupations,0,1/1/16
Construction and Extraction Occupations,0,2/1/16
Construction and Extraction Occupations,0,3/1/16
Construction and Extraction Occupations,20,4/1/16
Construction and Extraction Occupations,22,5/1/16
Construction and Extraction Occupations,20,6/1/16
Construction and Extraction Occupations,21,7/1/16
Construction and Extraction Occupations,18,8/1/16
Construction and Extraction Occupations,26,9/1/16
Construction and Extraction Occupations,33,10/1/16
Construction and Extraction Occupations,28,11/1/16
Construction and Extraction Occupations,38,12/1/16
"Installation, Maintenance, and Repair Occupations",0,1/1/11
"Installation, Maintenance, and Repair Occupations",0,2/1/11
"Installation, Maintenance, and Repair Occupations",0,3/1/11
"Installation, Maintenance, and Repair Occupations",0,4/1/11
"Installation, Maintenance, and Repair Occupations",0,5/1/11
"Installation, Maintenance, and Repair Occupations",0,6/1/11
